case_index,fan_electrical_external,fan_electrical_internal,fan_mechanical_external,fan_mechanical_internal,capacitor,igbt_deltaT,igbt_arrhenius,pcb
30628,1.863510084816275e-07,4.868359443137300e-07,5.053019117754880e-07,7.633956298117891e-07,9.647562197051697e-05,0.000000000000000e+00,5.697406052221914e-21,1.145410755401055e-10
30629,1.863510084816275e-07,4.868359443137300e-07,5.053019117754880e-07,7.633956298117891e-07,9.647562197051697e-05,0.000000000000000e+00,5.653506680686816e-21,1.145410755401055e-10
30630,1.863510084816275e-07,4.868359443137300e-07,5.053019117754880e-07,7.633956298117891e-07,9.647562197051697e-05,0.000000000000000e+00,5.580420192486656e-21,1.145410755401055e-10
30631,1.863510084816275e-07,4.868359443137300e-07,5.053019117754880e-07,7.633956298117891e-07,9.647562197051697e-05,0.000000000000000e+00,5.561327558013662e-21,1.145410755401055e-10
30632,1.863510084816275e-07,4.868359443137300e-07,5.053019117754880e-07,7.633956298117891e-07,9.647562197051697e-05,0.000000000000000e+00,5.503038384658639e-21,1.145410755401055e-10
30633,1.863510084816275e-07,4.868359443137300e-07,5.053019117754880e-07,7.633956298117891e-07,9.647562197051697e-05,0.000000000000000e+00,5.440548982181235e-21,1.145410755401055e-10
30634,1.863510084816275e-07,4.868359443137300e-07,5.053019117754880e-07,7.633956298117891e-07,9.647562197051697e-05,0.000000000000000e+00,5.384975254292669e-21,1.145410755401055e-10
30635,1.863510084816275e-07,4.868359443137300e-07,5.053019117754880e-07,7.633956298117891e-07,9.647562197051697e-05,0.000000000000000e+00,5.384010449187276e-21,1.145410755401055e-10
30636,1.863510084816275e-07,4.868359443137300e-07,5.053019117754880e-07,7.633956298117891e-07,9.647562197051697e-05,0.000000000000000e+00,5.312280322694883e-21,1.145410755401055e-10
30637,1.863510084816275e-07,4.868359443137300e-07,5.053019117754880e-07,7.633956298117891e-07,9.647562197051697e-05,0.000000000000000e+00,5.280892930903800e-21,1.145410755401055e-10
30638,1.863510084816275e-07,4.868359443137300e-07,5.053019117754880e-07,7.633956298117891e-07,9.647562197051697e-05,0.000000000000000e+00,5.252277657366495e-21,1.145410755401055e-10
30639,1.863510084816275e-07,4.868359443137300e-07,5.053019117754880e-07,7.633956298117891e-07,9.647562197051697e-05,0.000000000000000e+00,5.214815223857045e-21,1.145410755401055e-10
30640,1.863510084816275e-07,4.868359443137300e-07,5.053019117754880e-07,7.633956298117891e-07,9.647562197051697e-05,0.000000000000000e+00,5.199601932183081e-21,1.145410755401055e-10
30641,1.863510084816275e-07,4.868359443137300e-07,5.053019117754880e-07,7.633956298117891e-07,9.647562197051697e-05,0.000000000000000e+00,1.444261499417334e-21,1.145410755401055e-10
