case_index,fan_electrical_external,fan_electrical_internal,fan_mechanical_external,fan_mechanical_internal,capacitor,igbt_deltaT,igbt_arrhenius,pcb
31784,1.372053429463331e-07,8.019299843340455e-08,4.045949814138061e-07,9.868880034335858e-07,3.922336638972068e-07,0.000000000000000e+00,6.295352587401643e-06,1.027826665603606e-10
31785,1.372053429463331e-07,8.019299843340455e-08,4.045949814138061e-07,9.868880034335858e-07,3.922336638972068e-07,0.000000000000000e+00,5.005794717374035e-06,1.027826665603606e-10
31786,1.372053429463331e-07,8.019299843340455e-08,4.045949814138061e-07,9.868880034335858e-07,3.922336638972068e-07,0.000000000000000e+00,4.707363164456833e-06,1.027826665603606e-10
31787,1.372053429463331e-07,8.019299843340455e-08,4.045949814138061e-07,9.868880034335858e-07,3.922336638972068e-07,0.000000000000000e+00,3.994789494947031e-06,1.027826665603606e-10
31788,1.372053429463331e-07,8.019299843340455e-08,4.045949814138061e-07,9.868880034335858e-07,3.922336638972068e-07,0.000000000000000e+00,3.931968793924559e-06,1.027826665603606e-10
31789,1.372053429463331e-07,8.019299843340455e-08,4.045949814138061e-07,9.868880034335858e-07,3.922336638972068e-07,0.000000000000000e+00,2.940633709932288e-06,1.027826665603606e-10
31790,1.372053429463331e-07,8.019299843340455e-08,4.045949814138061e-07,9.868880034335858e-07,3.922336638972068e-07,0.000000000000000e+00,2.324731389486667e-06,1.027826665603606e-10
31791,1.372053429463331e-07,8.019299843340455e-08,4.045949814138061e-07,9.868880034335858e-07,3.922336638972068e-07,0.000000000000000e+00,2.189879318595164e-06,1.027826665603606e-10
31792,1.372053429463331e-07,8.019299843340455e-08,4.045949814138061e-07,9.868880034335858e-07,3.922336638972068e-07,0.000000000000000e+00,1.916465935692213e-06,1.027826665603606e-10
31793,1.372053429463331e-07,8.019299843340455e-08,4.045949814138061e-07,9.868880034335858e-07,3.922336638972068e-07,0.000000000000000e+00,1.301074080543869e-06,1.027826665603606e-10
31794,1.372053429463331e-07,8.019299843340455e-08,4.045949814138061e-07,9.868880034335858e-07,3.922336638972068e-07,0.000000000000000e+00,1.116917282526529e-06,1.027826665603606e-10
31795,1.372053429463331e-07,8.019299843340455e-08,4.045949814138061e-07,9.868880034335858e-07,3.922336638972068e-07,0.000000000000000e+00,9.340391113183476e-07,1.027826665603606e-10
31796,1.372053429463331e-07,8.019299843340455e-08,4.045949814138061e-07,9.868880034335858e-07,3.922336638972068e-07,0.000000000000000e+00,7.445551943360316e-07,1.027826665603606e-10
31797,1.372053429463331e-07,8.019299843340455e-08,4.045949814138061e-07,9.868880034335858e-07,3.922336638972068e-07,0.000000000000000e+00,5.487207957448977e-07,1.027826665603606e-10
31798,1.372053429463331e-07,8.019299843340455e-08,4.045949814138061e-07,9.868880034335858e-07,3.922336638972068e-07,0.000000000000000e+00,3.518544985179461e-07,1.027826665603606e-10
31799,1.372053429463331e-07,8.019299843340455e-08,4.045949814138061e-07,9.868880034335858e-07,3.922336638972068e-07,0.000000000000000e+00,2.457172231651178e-07,1.027826665603606e-10
31800,1.372053429463331e-07,8.019299843340455e-08,4.045949814138061e-07,9.868880034335858e-07,3.922336638972068e-07,0.000000000000000e+00,1.407904375022688e-07,1.027826665603606e-10
31801,1.372053429463331e-07,8.019299843340455e-08,4.045949814138061e-07,9.868880034335858e-07,3.922336638972068e-07,0.000000000000000e+00,1.516539507397439e-07,1.027826665603606e-10
31802,1.372053429463331e-07,8.019299843340455e-08,4.045949814138061e-07,9.868880034335858e-07,3.922336638972068e-07,0.000000000000000e+00,1.318242920122503e-07,1.027826665603606e-10
31803,1.372053429463331e-07,8.019299843340455e-08,4.045949814138061e-07,9.868880034335858e-07,3.922336638972068e-07,0.000000000000000e+00,1.054354538363749e-07,1.027826665603606e-10
31804,1.372053429463331e-07,8.019299843340455e-08,4.045949814138061e-07,9.868880034335858e-07,3.922336638972068e-07,0.000000000000000e+00,1.078349742419775e-07,1.027826665603606e-10
31805,1.372053429463331e-07,8.019299843340455e-08,4.045949814138061e-07,9.868880034335858e-07,3.922336638972068e-07,0.000000000000000e+00,1.208778062287901e-07,1.027826665603606e-10
31806,1.372053429463331e-07,8.019299843340455e-08,4.045949814138061e-07,9.868880034335858e-07,3.922336638972068e-07,0.000000000000000e+00,7.767172368876186e-08,1.027826665603606e-10
31807,1.372053429463331e-07,8.019299843340455e-08,4.045949814138061e-07,9.868880034335858e-07,3.922336638972068e-07,0.000000000000000e+00,6.832262824328632e-08,1.027826665603606e-10
31808,1.372053429463331e-07,8.019299843340455e-08,4.045949814138061e-07,9.868880034335858e-07,3.922336638972068e-07,0.000000000000000e+00,1.057710929571484e-07,1.027826665603606e-10
31809,1.372053429463331e-07,8.019299843340455e-08,4.045949814138061e-07,9.868880034335858e-07,3.922336638972068e-07,0.000000000000000e+00,6.717197768390301e-08,1.027826665603606e-10
31810,1.372053429463331e-07,8.019299843340455e-08,4.045949814138061e-07,9.868880034335858e-07,3.922336638972068e-07,0.000000000000000e+00,4.279256642734657e-08,1.027826665603606e-10
31811,1.372053429463331e-07,8.019299843340455e-08,4.045949814138061e-07,9.868880034335858e-07,3.922336638972068e-07,0.000000000000000e+00,3.578997613759895e-08,1.027826665603606e-10
31812,1.372053429463331e-07,8.019299843340455e-08,4.045949814138061e-07,9.868880034335858e-07,3.922336638972068e-07,0.000000000000000e+00,2.278438698520228e-08,1.027826665603606e-10
31813,1.372053429463331e-07,8.019299843340455e-08,4.045949814138061e-07,9.868880034335858e-07,3.922336638972068e-07,0.000000000000000e+00,7.325687164030551e-09,1.027826665603606e-10
31814,1.372053429463331e-07,8.019299843340455e-08,4.045949814138061e-07,9.868880034335858e-07,3.922336638972068e-07,0.000000000000000e+00,1.181812921243589e-09,1.027826665603606e-10
31815,1.372053429463331e-07,8.019299843340455e-08,4.045949814138061e-07,9.868880034335858e-07,3.922336638972068e-07,0.000000000000000e+00,4.390575523463722e-09,1.027826665603606e-10
31816,1.372053429463331e-07,8.019299843340455e-08,4.045949814138061e-07,9.868880034335858e-07,3.922336638972068e-07,0.000000000000000e+00,9.593050758022068e-09,1.027826665603606e-10
31817,1.372053429463331e-07,8.019299843340455e-08,4.045949814138061e-07,9.868880034335858e-07,3.922336638972068e-07,0.000000000000000e+00,1.013862729369347e-08,1.027826665603606e-10
31818,1.372053429463331e-07,8.019299843340455e-08,4.045949814138061e-07,9.868880034335858e-07,3.922336638972068e-07,0.000000000000000e+00,6.777140254590308e-09,1.027826665603606e-10
31819,1.372053429463331e-07,8.019299843340455e-08,4.045949814138061e-07,9.868880034335858e-07,3.922336638972068e-07,0.000000000000000e+00,3.323272328423015e-09,1.027826665603606e-10
31820,1.372053429463331e-07,8.019299843340455e-08,4.045949814138061e-07,9.868880034335858e-07,3.922336638972068e-07,0.000000000000000e+00,2.395364985052858e-10,1.027826665603606e-10
31821,1.372053429463331e-07,8.019299843340455e-08,4.045949814138061e-07,9.868880034335858e-07,3.922336638972068e-07,0.000000000000000e+00,2.014052091573438e-11,1.027826665603606e-10
31822,1.372053429463331e-07,8.019299843340455e-08,4.045949814138061e-07,9.868880034335858e-07,3.922336638972068e-07,0.000000000000000e+00,6.949053633350158e-12,1.027826665603606e-10
31823,1.372053429463331e-07,8.019299843340455e-08,4.045949814138061e-07,9.868880034335858e-07,3.922336638972068e-07,0.000000000000000e+00,1.770855008103911e-11,1.027826665603606e-10
31824,1.372053429463331e-07,8.019299843340455e-08,4.045949814138061e-07,9.868880034335858e-07,3.922336638972068e-07,0.000000000000000e+00,1.206982448469970e-11,1.027826665603606e-10
31825,1.372053429463331e-07,8.019299843340455e-08,4.045949814138061e-07,9.868880034335858e-07,3.922336638972068e-07,0.000000000000000e+00,3.401352492331255e-13,1.027826665603606e-10
31826,1.372053429463331e-07,8.019299843340455e-08,4.045949814138061e-07,9.868880034335858e-07,3.922336638972068e-07,0.000000000000000e+00,8.652878892354880e-15,1.027826665603606e-10
31827,1.372053429463331e-07,8.019299843340455e-08,4.045949814138061e-07,9.868880034335858e-07,3.922336638972068e-07,0.000000000000000e+00,8.333333333333334e-12,1.027826665603606e-10
31828,1.372053429463331e-07,8.019299843340455e-08,4.045949814138061e-07,9.868880034335858e-07,3.922336638972068e-07,0.000000000000000e+00,8.333333333333334e-12,1.027826665603606e-10
31829,1.372053429463331e-07,8.019299843340455e-08,4.045949814138061e-07,9.868880034335858e-07,3.922336638972068e-07,0.000000000000000e+00,8.333333333333334e-12,1.027826665603606e-10
31830,1.372053429463331e-07,8.019299843340455e-08,4.045949814138061e-07,9.868880034335858e-07,3.922336638972068e-07,0.000000000000000e+00,4.867088410140086e-14,1.027826665603606e-10
